Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2120 2T24 0504 JIMELUZ 2 TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2120_2T24_0504_JIMELUZ_2_TJ.xlsx
2121 2T24 0504 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2121_2T24_0504_JIMELUZ_TJ.xlsx
2122 2T24 0505 JIMELUZ 2 EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2122_2T24_0505_JIMELUZ_2_EF.xlsx
2123 2T24 0505 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2123_2T24_0505_JIMELUZ_EF.xlsx
2124 2T24 0505 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2124_2T24_0505_JIMELUZ_TJ.xlsx
2125 2T24 0509 BM .pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2125_2T24_0509_BM_.xlsx
2126 2T24 0512 ISTA REC.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2126_2T24_0512_ISTA_REC.xlsx
2127 2T24 0514 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2127_2T24_0514_JIMELUZ_EF.xlsx
2128 2T24 0517 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2128_2T24_0517_BM_TJ.xlsx
2129 2T24 0517 CASA DEL DUQUE 2015 SL TJ.pdf,DUQUE,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2129_2T24_0517_CASA_DEL_DUQUE_2015_SL_TJ.xlsx
2130 2T24 0517 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2130_2T24_0517_JIMELUZ_EF.xlsx
2131 2T24 0519 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2131_2T24_0519_JIMELUZ_EF.xlsx
2143 2T24 0604 MIGUEZ CAL SL TR .pdf,MIGUEZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2143_2T24_0604_MIGUEZ_CAL_SL_TR_.xlsx
2144 2T24 0604 SABORES DE PATERNA TF.pdf,PATERNA,04-06-04,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2144_2T24_0604_SABORES_DE_PATERNA_TF.xlsx
2145 2T24 0605 RED DE FONTANERIA EF.pdf,FONTANERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2145_2T24_0605_RED_DE_FONTANERIA_EF.xlsx
2146 2T24 0606 LUCERA RC.pdf,LUCERA,06-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2146_2T24_0606_LUCERA_RC.xlsx
2147 2T24 0607 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2147_2T24_0607_JIMELUZ_EF.xlsx
2148 2T24 0607 VINOS DE ARGANZA SL TR.pdf,ARGANZA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2148_2T24_0607_VINOS_DE_ARGANZA_SL_TR.xlsx
2149 2T24 0610 FELISA 1 TF.pdf,FELISA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2149_2T24_0610_FELISA_1_TF.xlsx
2150 2T24 0610 FELISA TF.pdf,FELISA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2150_2T24_0610_FELISA_TF.xlsx
2151 2T24 0610 MARILINA GADITAUN TF.pdf,GADITAUN,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2151_2T24_0610_MARILINA_GADITAUN_TF.xlsx
2152 2T24 0611 PALOMA LOPEZ ARENAS TF OJO RETENCION.PDF,RETENCION,04-06-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2152_2T24_0611_PALOMA_LOPEZ_ARENAS_TF_OJO_RETENCION.xlsx
2153 2T24 0613 COAM SON 2 FACTURAS EF.pdf,,,,,
2154 2T24 0614 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2154_2T24_0614_BM_TJ.xlsx
2155 2T24 0614 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2155_2T24_0614_JIMELUZ_EF.xlsx
